lag_s,clip_idx,tier,gt,clip_mean,clip_top3,need_weighted_clip,critical_weighted_clip
0.0,0,tier3_va11y,3,0.28621482849121094,0.33899974822998047,0.27248162576362206,0.26968075657300733
0.0,0,tier2_vatex_long,2,0.26610931754112244,0.3064137399196625,0.2717022966804164,0.2655049769845855
0.0,0,tier1_vatex_short,1,0.2692984938621521,0.3105401396751404,0.2542257312323743,0.2568442151826187
0.0,0,tier0_cross,0,0.017843952402472496,0.09840059280395508,0.03400409240499312,0.034146558721569915
0.0,1,tier3_va11y,3,0.3259706497192383,0.34874245524406433,0.32951051541950216,0.3260919589501232
0.0,1,tier2_vatex_long,2,0.26529833674430847,0.29799163341522217,0.2619777293474744,0.26778616196556937
0.0,1,tier1_vatex_short,1,0.25754883885383606,0.276729017496109,0.2566512258428649,0.25856062761336546
0.0,1,tier0_cross,0,0.02654211036860943,0.059092532843351364,0.03790408796879318,0.025908509066432484
2.5,0,tier3_va11y,3,0.2776675820350647,0.31695178151130676,0.28551412582320523,0.284668535650867
2.5,0,tier2_vatex_long,2,0.2623654305934906,0.29273584485054016,0.26930692881897556,0.26584680401681204
2.5,0,tier1_vatex_short,1,0.2772798538208008,0.31060490012168884,0.2841660781697494,0.2882942275917004
2.5,0,tier0_cross,0,0.0490846112370491,0.12002313882112503,0.045771861514459264,0.04373446166873361
2.5,1,tier3_va11y,3,0.32318904995918274,0.34460940957069397,0.3330546053313127,0.3279824779141496
2.5,1,tier2_vatex_long,2,0.2768126130104065,0.3056209981441498,0.2639573246379058,0.26803396374796973
2.5,1,tier1_vatex_short,1,0.26059767603874207,0.27720192074775696,0.2596411694565643,0.25878454322392114
2.5,1,tier0_cross,0,0.012927980162203312,0.049561332911252975,0.03407289855708556,0.025174089991543715
5.0,0,tier3_va11y,3,0.26577678322792053,0.2870788872241974,0.27157106351161764,0.27017217965979756
5.0,0,tier2_vatex_long,2,0.2662333846092224,0.2828628122806549,0.26076788229936093,0.2631655282680348
5.0,0,tier1_vatex_short,1,0.27499571442604065,0.30369532108306885,0.2862817748585686,0.2825131525205752
5.0,0,tier0_cross,0,0.05867158621549606,0.09706681966781616,0.04836380923958126,0.05354355542943347
5.0,1,tier3_va11y,3,0.31171438097953796,0.3275917172431946,0.31700055766567015,0.31487792456328634
5.0,1,tier2_vatex_long,2,0.28596794605255127,0.31126469373703003,0.2798166719073041,0.28097958760122854
5.0,1,tier1_vatex_short,1,0.2634299099445343,0.2844594717025757,0.2698208873309207,0.2670940150007325
5.0,1,tier0_cross,0,-0.002246270189061761,0.028801115229725838,0.013719108838813315,0.008559755163936518
