metric,spearman_rho,spearman_p,kendall_tau,kendall_p,tier3_gt_tier2_vatex_long_wins,tier3_gt_tier2_vatex_long_total,tier3_gt_tier1_vatex_short_wins,tier3_gt_tier1_vatex_short_total,tier3_gt_tier0_cross_wins,tier3_gt_tier0_cross_total,pairwise_wins,pairwise_total,full_order_clips,full_order_total
need_weighted_clip,0.9759000729485332,3.4364028076121416e-05,0.9258200997725515,0.0021801703774041057,2,2,2,2,2,2,6,6,2,2
critical_weighted_clip,0.9759000729485332,3.4364028076121416e-05,0.9258200997725515,0.0021801703774041057,2,2,2,2,2,2,6,6,2,2
need_weighted_clip_norm_clip,0.9383431168171101,0.0005592193385586618,0.8807048459279794,0.004382278618711524,2,2,2,2,2,2,6,6,2,2
critical_weighted_clip_norm_clip,0.9383431168171101,0.0005592193385586618,0.8807048459279794,0.004382278618711524,2,2,2,2,2,2,6,6,2,2
clip_mean_norm_clip,0.8889566369846307,0.003144334206827345,0.8006407690254358,0.009591324011018731,2,2,2,2,2,2,6,6,1,2
clip_top3_norm_clip,0.8889566369846307,0.003144334206827345,0.8006407690254358,0.009591324011018731,2,2,2,2,2,2,6,6,1,2
extended_need_weighted_clip_norm_clip,0.8889566369846307,0.003144334206827345,0.8006407690254358,0.009591324011018731,2,2,2,2,2,2,6,6,1,2
clip_mean,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,2,2,2,2,2,2,6,6,1,2
clip_top3,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,2,2,2,2,2,2,6,6,1,2
extended_need_weighted_clip,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,2,2,2,2,2,2,6,6,1,2
opportunity_weighted_clip,0.9271050693011065,0.0009161801973082118,0.8486684247915055,0.004967302907964283,1,2,2,2,2,2,5,6,1,2
standard_slot_weighted_clip,0.8783100656536799,0.0041039337200315705,0.7715167498104596,0.010656374721291434,1,2,2,2,2,2,5,6,1,2
standard_slot_weighted_clip_norm_clip,0.864263397068391,0.005632964711274356,0.760608730574164,0.013866097394896,1,2,2,2,2,2,5,6,1,2
opportunity_weighted_clip_norm_clip,0.864263397068391,0.005632964711274356,0.760608730574164,0.013866097394896,1,2,2,2,2,2,5,6,1,2
event_weighted_clip_norm_clip,0.7407971974871923,0.03551212585485746,0.6805446536716204,0.027687129576911457,2,2,1,2,2,2,5,6,1,2
event_weighted_clip,0.7319250547114,0.038998273987822366,0.6172133998483676,0.04105088656045887,2,2,1,2,2,2,5,6,1,2
