metric,spearman_rho,spearman_p,kendall_tau,kendall_p,pairwise_wins,pairwise_total,full_order_clips,full_order_total,perm_p_ge_observed
word_len_norm,0.31790918273138025,0.006502089380585703,0.2711088342345192,0.003749633821428212,51,54,0,18,
clip_mean_norm,0.7985684341772016,4.355837107488803e-17,0.6894866648433452,1.687563956748002e-13,48,54,11,18,
all4_mean,0.9326607523663312,1.0281451265618948e-32,0.8499193256580848,5.70955550870064e-20,53,54,16,18,0.0
all4_median,0.9231520157388146,8.894880497161703e-31,0.8406421974851638,2.8978598215981784e-19,53,54,16,18,
all4_trimmed_mean,0.9225063988653059,1.1789574610943122e-30,0.8397887113437628,3.0465725790980625e-19,53,54,16,18,
strict_all4_80adqa_20clip,0.9260119910943441,2.4770684793714294e-31,0.8341831706826838,1.2067192134793874e-19,54,54,16,18,0.0
strict_all4_50adqa_50clip,0.9175662791234512,9.419161148713353e-30,0.8220394067197782,4.017671071435617e-19,54,54,15,18,
selected3_mean,0.9444894909535001,1.456278233905188e-35,0.8650524137967655,1.5211729204398895e-20,53,54,16,18,
clip_mean_norm_lenresid,0.8756925339038211,7.975041701978886e-24,0.761208578662001,4.009765840135284e-16,50,54,9,18,
all4_mean_lenresid,0.8735670665885203,1.3906620716282624e-23,0.7683807700438665,2.1225901832214845e-16,49,54,10,18,0.0
all4_median_lenresid,0.8677979410184189,5.988924878910496e-23,0.7573834099250061,5.615962583149465e-16,48,54,9,18,
strict_all4_50adqa_50clip_lenresid,0.8863198704803236,4.20837411001881e-25,0.7769873997021054,9.818337663024068e-17,49,54,11,18,
selected3_mean_lenresid,0.8747816193401208,1.0133643618457748e-23,0.7693370622281154,1.9491360179566173e-16,49,54,11,18,
loocv_all4_clip,0.9326607523663312,1.0281451265618948e-32,0.8499193256580848,5.70955550870064e-20,53,54,16,18,0.0
