target,feature,direction,roc_auc_oriented,average_precision,spearman_rho_raw,n,positives
all4_fail,mean_standard_slot_score,high,1.0,1.0,0.5985056016645797,18,2
all4_fail,mean_speech_density,low,0.9375,0.5833333333333333,-0.5236924014565073,18,2
all4_fail,high_need_seconds_frac,high,0.78125,0.29166666666666663,0.3077735079965984,18,2
all4_fail,high_need_frac,high,0.765625,0.25,0.2917383357471257,18,2
all4_fail,mean_extended_need_score,low,0.75,0.26785714285714285,-0.27258651025455277,18,2
all4_fail,mean_need,high,0.75,0.26666666666666666,0.27258651025455277,18,2
all4_fail,tribe_pressure,high,0.75,0.26666666666666666,0.27258651025455277,18,2
all4_fail,max_need,high,0.71875,0.2777777777777778,0.23851319647273372,18,2
all4_fail,extended_seconds_frac,high,0.671875,0.20833333333333331,0.1880838104423657,18,2
all4_fail,need_entropy,high,0.5,0.15555555555555556,0.0,18,2
quality_risk_fail,mean_standard_slot_score,high,0.9444444444444445,0.5833333333333333,0.5062175977346661,20,2
quality_risk_fail,mean_speech_density,low,0.8888888888888888,0.41666666666666663,-0.4429403980178329,20,2
quality_risk_fail,high_need_seconds_frac,high,0.8055555555555556,0.29166666666666663,0.31878032447390625,20,2
quality_risk_fail,high_need_frac,high,0.7916666666666666,0.25,0.30544687151384164,20,2
quality_risk_fail,mean_need,high,0.7777777777777778,0.26666666666666666,0.28903665650804,20,2
quality_risk_fail,tribe_pressure,high,0.7777777777777778,0.26666666666666666,0.28903665650804,20,2
quality_risk_fail,max_need,high,0.7222222222222222,0.26666666666666666,0.23122932520643197,20,2
quality_risk_fail,mean_extended_need_score,low,0.7222222222222222,0.225,-0.23122932520643197,20,2
quality_risk_fail,extended_seconds_frac,high,0.7083333333333333,0.20833333333333331,0.2173502212322088,20,2
quality_risk_fail,need_entropy,low,0.5555555555555556,0.15555555555555556,-0.05780733130160799,20,2
low_tier3_margin,mean_standard_slot_score,high,0.9411764705882353,0.5,0.3849107395700303,18,1
low_tier3_margin,high_need_seconds_frac,high,0.9411764705882353,0.3333333333333333,0.3518848077717551,18,1
low_tier3_margin,high_need_frac,high,0.9117647058823529,0.25,0.32962727782328083,18,1
low_tier3_margin,mean_speech_density,low,0.8823529411764706,0.3333333333333333,-0.33358930762735955,18,1
low_tier3_margin,mean_need,high,0.7647058823529411,0.2,0.21036690376915404,18,1
low_tier3_margin,tribe_pressure,high,0.7647058823529411,0.2,0.21036690376915404,18,1
low_tier3_margin,extended_seconds_frac,high,0.7352941176470589,0.16666666666666666,0.18767189747826937,18,1
low_tier3_margin,mean_extended_need_score,low,0.6470588235294118,0.14285714285714285,-0.11687050209397447,18,1
low_tier3_margin,max_need,high,0.5294117647058824,0.1111111111111111,0.023374100418794893,18,1
low_tier3_margin,need_entropy,high,0.5294117647058824,0.1111111111111111,0.023374100418794893,18,1
tier2_tier1_inversion,mean_standard_slot_score,high,1.0,1.0,0.436232171512701,18,1
tier2_tier1_inversion,mean_speech_density,low,0.9411764705882353,0.5,-0.3849107395700303,18,1
tier2_tier1_inversion,max_need,high,0.8823529411764706,0.3333333333333333,0.3038633054443336,18,1
tier2_tier1_inversion,mean_extended_need_score,low,0.8235294117647058,0.25,-0.2571151046067438,18,1
tier2_tier1_inversion,mean_need,high,0.7058823529411764,0.16666666666666666,0.16361870293156425,18,1
tier2_tier1_inversion,tribe_pressure,high,0.7058823529411764,0.16666666666666666,0.16361870293156425,18,1
tier2_tier1_inversion,high_need_seconds_frac,high,0.5882352941176471,0.125,0.07037696155435103,18,1
tier2_tier1_inversion,high_need_frac,high,0.5882352941176471,0.125,0.07063441667641732,18,1
tier2_tier1_inversion,extended_seconds_frac,high,0.5882352941176471,0.125,0.07037696155435103,18,1
tier2_tier1_inversion,need_entropy,low,0.5294117647058824,0.1111111111111111,-0.023374100418794893,18,1
