clip_idx,category,duration_s,mean_need,max_need,high_need_seconds_frac,extended_seconds_frac,tribe_pressure,tier3_va11y_words,all4_mean_full_order,all4_mean_tier3_margin,all4_mean_tier2_vs_tier1,claude_vlm_specificity_norm_tier3_margin,tribe_route,quality_risk
5,Food & Cooking,16.39,0.6596447063981404,0.8559741095030897,0.9090909090909091,0.9090909090909091,1.2593217122146318,60,1.0,0.1339285714285714,0.5317460317460319,0.05555555555555558,extended/integrated AD likely needed,clean
9,Sports,16.39,0.5830793296168879,0.7650085708250683,0.9090909090909091,0.9090909090909091,1.1131514474504225,35,1.0,0.09999999999999998,0.24285714285714288,0.4117647058823529,extended/integrated AD likely needed,clean
18,Pets & Animals,16.39,0.5679584541079548,0.7941592025899242,0.8181818181818181,0.8181818181818181,1.0326517347417359,55,1.0,0.4125,0.33750000000000013,0.2777777777777778,extended/integrated AD likely needed,clean
17,Pets & Animals,19.37,0.5719618255815417,0.989735822398962,0.7692307692307692,0.7692307692307692,1.0119324606442661,60,1.0,0.7366071428571429,0.0669642857142857,-0.05882352941176483,extended/integrated AD likely needed,clean
15,Pets & Animals,16.39,0.5596241940798036,0.7493147206590085,0.9090909090909091,0.7272727272727273,0.9666236079560243,53,0.0,-0.025000000000000022,0.45,0.4117647058823529,extended/integrated AD likely needed,professional AD barely leads
12,Sports,23.84,0.5182596900896645,0.8755344451155387,0.625,0.5000000000000001,0.7773895351344968,64,0.0,0.5104166666666667,-0.020833333333333315,0.5714285714285715,extended/integrated AD likely needed,tier2/tier1 inversion risk
14,Sports,16.39,0.4003728105074168,0.5376238514689752,0.7272727272727273,0.7272727272727273,0.6915530363309926,46,1.0,0.29999999999999993,0.15000000000000002,0.23529411764705888,extended/integrated AD likely needed,clean
11,Sports,16.39,0.4782412280361204,0.6204962039553747,0.7272727272727273,0.3636363636363636,0.6521471291401642,69,1.0,0.2833333333333333,0.38333333333333336,0.2941176470588235,standard AD priority,clean
0,Food & Cooking,14.9,0.3883963677748515,0.5841811642054016,0.6000000000000001,0.6000000000000001,0.6214341884397624,40,1.0,0.1845238095238096,0.0773809523809523,0.19999999999999996,extended/integrated AD likely needed,clean
6,Travel,17.88,0.39760619032736616,0.7646262287500899,0.5,0.5,0.5964092854910492,40,1.0,0.43214285714285705,0.15714285714285725,0.33333333333333337,extended/integrated AD likely needed,clean
7,Travel,16.39,0.3871231532659878,0.939134955406189,0.4545454545454546,0.4545454545454546,0.5630882229323458,41,1.0,0.35416666666666674,0.04166666666666663,0.17647058823529416,extended/integrated AD likely needed,clean
13,Sports,14.9,0.37576557838620006,0.6344394468570758,0.4,0.4,0.52607180974068,67,1.0,0.22182539682539681,0.2603174603174604,0.23076923076923073,low/normal AD pressure,clean
8,Travel,16.39,0.37899456826303657,0.7014957045919514,0.36363636363636365,0.36363636363636365,0.5168107749041408,56,1.0,0.28125,0.3645833333333334,0.3571428571428571,low/normal AD pressure,clean
2,Food & Cooking,26.82,0.4355706961919657,0.8003662052649374,0.4444444444444444,0.11111111111111113,0.48396744021329524,27,,,,,low/normal AD pressure,clean
20,Pets & Animals,17.88,0.3610301768411606,0.637072885504075,0.3333333333333333,0.3333333333333333,0.4813735691215475,44,,,,,low/normal AD pressure,clean
1,Food & Cooking,16.39,0.3472245020802409,0.8527670466409736,0.36363636363636365,0.36363636363636365,0.4734879573821467,62,1.0,0.4361111111111111,0.4611111111111112,0.2941176470588235,low/normal AD pressure,clean
3,Food & Cooking,16.39,0.37321728112847846,0.710663123229123,0.18181818181818182,0.18181818181818182,0.4410749686063837,54,1.0,0.06666666666666687,0.23333333333333328,0.23529411764705888,low/normal AD pressure,clean
19,Pets & Animals,20.86,0.33362418399777705,0.5766175841764636,0.42857142857142855,0.2857142857142857,0.4289453794257133,52,1.0,0.3928571428571428,0.34523809523809523,0.625,low/normal AD pressure,clean
4,Food & Cooking,19.37,0.19873375150898057,0.5713254998961601,0.30769230769230765,0.30769230769230765,0.25988259812712844,73,1.0,0.5208333333333333,0.0625,0.375,low/normal AD pressure,clean
16,Pets & Animals,16.39,0.21856197421344767,0.644815716432821,0.18181818181818182,0.18181818181818182,0.25830051497952905,43,1.0,0.5468253968253969,0.2948412698412699,0.2777777777777778,low/normal AD pressure,clean
